},"Attempts \(|\overrightarrow{Q S}|=\sqrt{3^{2}+(-3)^{2}+2^{2}}=\sqrt{22}\) and so \\
\(22=29+29-2 \sqrt{29} \sqrt{29} \cos S P Q\)",M1,3.1 a
,"\(\cos P Q R=-\frac{18}{29}\) or \(\cos S P Q=\frac{18}{29}\) \\
Condone angles in degrees 51.6, 128.4 (1dp) or radians 2.24, 0.901 \\
(3sf) here",A1,\(1.1 b\)
,"Correct method for area PQRS. E.g. \\
\(P Q \times Q R \sin P Q R=\sqrt{2^{2}+3^{2}+(-4)^{2}} \times \sqrt{5^{2}+(-2)^{2}} \times \frac{\sqrt{517}}{29}\)",dM1,2.1
,\(=\sqrt{517}\),A1,1.1b
,,(4),
Question,Scheme,Marks,AOs
10 (a),265 thousand,B1,3.4
,,(1),
(b),Attempts \(\frac{\mathrm{d} N_{b}}{\mathrm{~d} t}=11 \mathrm{e}^{0.05 t}\),M1,\(1.1 b\)
,Substitutes \(t=10\) into their \(\frac{\mathrm{d} N_{b}}{\mathrm{~d} t}\),M1,3.4
,\(\frac{\mathrm{d} N_{b}}{\mathrm{~d} t}=\) awrt 18.1 which is approximately 18 thousand per year *,A1*,2.1
,,(3),
(c),"Sets \\
\(45+220 \mathrm{e}^{0.05 t}=10+800 \mathrm{e}^{-0.05 t} \Rightarrow 220 \mathrm{e}^{0.05 t}+35-800 \mathrm{e}^{-0.05 t}=0\)",M1,\(3.1 b\)
,"Correct quadratic equation \\
\(\Rightarrow 220\left(\mathrm{e}^{0.05 t}\right)^{2}+35 \mathrm{e}^{0.05 t}-800=0\)",A1,\(1.1 b\)
,"\(\mathrm{e}^{0.05 t}=1.829,(-1.988) \Rightarrow 0.05 t=\ln (1.829)\)",M1,2.1
,\(T=12.08\),A1,1.1b
,,(4),"\\
 \multicolumn{4}{|l|}{ (8 marks) } \\
 \multicolumn{4}{|l|}{ Notes: }"
Question,Scheme,Marks,AOs
11 (a),"Substitutes \(x=\frac{1}{2}\) into \(y=2 x^{3}+10\) and \(y=42 x-15 x^{2}-7\) \\
and finds the \(y\) values for both",M1,\(1.1 b\)
,Achieves \(\frac{41}{4}\) o.e. for both and makes a valid conclusion. *,A1*,2.4
,,(2),
(b),Sets \(42 x-15 x^{2}-7=2 x^{3}+10 \Rightarrow 2 x^{3}+15 x^{2}-42 x+17=0\),M1,\(1.1 b\)
,Deduces that \((2 x-1)\) is a factor and attempts to divide,dM1,2.1
,\(2 x^{3}+15 x^{2}-42 x+17=(2 x-1)\left(x^{2}+8 x-17\right)\),A1,\(1.1 b\)
,Solves their \(x^{2}+8 x-17=0\) using suitable method,M1,\(1.1 b\)
,Deduces \(x=-4+\sqrt{33}\) (see note),A1,2.2 a
,,(5),"\\
 \multicolumn{4}{|l|}{ (7 marks) } \\
 \multicolumn{4}{|l|}{ Notes: }"
Question,Scheme,Marks,AOs
12,\(\int x^{3} \ln x \mathrm{~d} x=\frac{x^{4}}{4} \ln x-\int \frac{x^{4}}{4} \times \frac{1}{x} \mathrm{~d} x\),M1,1.1 b
\cline { 2 - 5 },\(=\frac{x^{4}}{4} \ln x-\frac{x^{4}}{16}(+c)\),M1,1.1 b
1.1 b,\(\int_{1}^{\mathrm{e}^{2}} x^{3} \ln x \mathrm{~d} x=\left[\frac{x^{4}}{4} \ln x-\frac{x^{4}}{16}\right]_{1}^{\mathrm{e}^{2}}=\left(\frac{\mathrm{e}^{8}}{4} \ln \mathrm{e}^{2}-\frac{\mathrm{e}^{8}}{16}\right)-\left(-\frac{1^{4}}{16}\right)\),M1,2.1
\cline { 2 - 5 },\(=\frac{7}{16} \mathrm{e}^{8}+\frac{1}{16}\),A1,1.1 b
Question,Scheme,Marks,AOs
13 (i),States that \(S=a+(a+d)+\ldots \ldots \ldots \ldots \ldots \ldots \ldots \ldots .+(a+(n-1) d)\),B1,1.1 a
,"\(S=a+\quad \cdot \quad(a+d)+\quad(a+(n-1) d)\) \\
\(S=(a+(n-1) d)+(a+(n-2) d)+\ldots \ldots \ldots \ldots \ldots \ldots \ldots \ldots+a\)",M1,3.1a
,"Reaches \(2 S=n \times(2 a+(n-1) d)\) \\
And so proves that \(S=\frac{n}{2}[2 a+(n-1) d] *\)",A1*,2.1
,,(3),
(ii),(a) \(S=10+9.20+8.40+\ldots\),,
,\(64=\frac{n}{2}(20-0.8(n-1)) \quad\) o.e,M1,\(3.1 b\)
,"\(128=20 n-0.8 n^{2}+0.8 n\) \\
\(0.8 n^{2}-20.8 n+128=0\) \\
\(n^{2}-26 n+160=0 *\)",A1*,2.1
,,(2),
,"(b) \(n=10,16\)",B1,\(1.1 b\)
,,(1),
,"(c) 10 weeks with a minimal correct reason. E.g. \\
- He has saved up the amount by 10 weeks so he would \\
not save for another 6 weeks \\
- You would choose the smaller number \\
- He starts saving negative amounts (in week 14 ) so 16 \\
does not make sense",B1,2.3
,,(1),"\\
 \multicolumn{4}{|l|}{ (7 marks) } \\
 \multicolumn{4}{|l|}{ Notes: }"
Question,Scheme,Marks,AOs
14(a),"Attempts to use both \\

\(\sin \left(x-60^{\circ}\right)= \pm \sin x \cos 60^{\circ} \pm \cos x \sin 60^{\circ}\) \\
\(\cos \left(x-30^{\circ}\right)= \pm \cos x \cos 30^{\circ} \pm \sin x \sin 30^{\circ}\)",M1,2.1
,"Correct equation \\
\(2 \sin x \cos 60^{\circ}-2 \cos x \sin 60^{\circ}=\cos x \cos 30^{\circ}+\sin x \sin 30^{\circ}\)",A1,\(1.1 b\)
,"Either uses \(\frac{\sin x}{\cos x}=\tan x\) and attempts to make \(\tan x\) the subject \\
E.g. \(\left(2 \cos 60^{\circ}-\sin 30^{\circ}\right) \tan x=\cos 30^{\circ}+2 \sin 60^{\circ}\) \\
Or attempts \(\sin 30^{\circ}\) etc with at least two correct and collects terms in \\
\(\sin x\) and \(\cos x\) \\
E.g. \(\left(2 \times \frac{1}{2}-\frac{1}{2}\right) \sin x=\left(2 \times \frac{\sqrt{3}}{2}+\frac{\sqrt{3}}{2}\right) \cos x\)",M1,2.1
,"Proceeds to given answer showing all key steps \\
E.g. \(\frac{1}{2} \tan x=\frac{3 \sqrt{3}}{2} \Rightarrow \tan x=3 \sqrt{3}\)",A1*,\(1.1 b\)
,,(4),
(b),Deduces that \(x=2 \theta+60^{\circ}\),B1,2.2 a
,"\(\tan \left(2 \theta+60^{\circ}\right)=3 \sqrt{3} \Rightarrow 2 \theta+60^{\circ}=79.1^{\circ}, 259.1^{\circ}, \ldots .\).",M1,1.1 b
,Correct method to find one value of \(\theta\) E.g \(\theta=\frac{79.1^{\circ}-60^{\circ}}{2}\),dM1,\(1.1 b\)
,"\(\theta=\) awrt \(9.6^{\circ}, 99.6^{\circ}\) (See note)",A1,2.1
,,(4),"\\
 \multicolumn{4}{|l|}{ (8 marks) } \\
 \multicolumn{4}{|l|}{ Notes: }"
Question,Scheme,Marks,AOs
15 (a),"Sets up an allowable equation using volume \(=240\) \\
E.g. \(\frac{1}{2} r^{2} \times 0.8 h=240 \Rightarrow h=\frac{600}{r^{2}}\) o.e.","M1 \\
A1","3.4 \\
1.1 b"
,"Attempts to substitute their \(h=\frac{600}{r^{2}}\) into \\
\((S=) \frac{1}{2} r^{2} \times 0.8+\frac{1}{2} r^{2} \times 0.8+2 r h+0.8 r h\)",dM1,3.4
,\(S=0.8 r^{2}+2.8 r h=0.8 r^{2}+2.8 \times \frac{600}{r}=0.8 r^{2}+\frac{1680}{r} *\),A1*,2.1
,,(4),
(b),\(\left(\frac{\mathrm{d} S}{\mathrm{~d} r}\right)=1.6 r-\frac{1680}{r^{2}}\),"M1 \\
A1","3.1 a \\
1.1 b"
,"Sets \(\frac{\mathrm{d} S}{\mathrm{~d} r}=0 \Rightarrow r^{3}=1050\) \\
\(r=\) awrt 10.2","d 1 1 1 \\
A 1","2.1 \\
1.1 b"
,,(4),
(c),"Attempts to substitute their positive \(r\) into \(\left(\frac{\mathrm{d}^{2} S}{\mathrm{~d} r^{2}}\right)=1.6+\frac{3360}{r^{3}}\) \\
and considers its value or sign",M1,\(1.1 b\)
,"E.g. Correct \(\frac{\mathrm{d}^{2} S}{\mathrm{~d} r^{2}}=1.6+\frac{3360}{r^{3}}\) with \(\frac{\mathrm{d}^{2} S}{\mathrm{~d} r^{2}}{ }_{r=10.2}=5>0\) proving a \\
minimum value of \(S\)",A1,\(1.1 b\)
,,(2),"\\
 \multicolumn{4}{|l|}{ (10 marks) } \\
 \multicolumn{4}{|l|}{ Notes: }"
Question,Scheme,Marks,AOs
16 (a),"Attempts \\
\(y \cdot \frac{\mathrm{~d} x}{\mathrm{~d} t}=(2 \sin 2 t+3 \sin t) \times 16 \sin t \cos t\) and uses \(\sin 2 t=2 \sin t \cos t\)",M1,2.1
,"Correct expanded integrand. Usually for one of \\
\((R)=\int \underline{\underline{48 \sin ^{2} t \cos t+16 \sin ^{2} 2 t} \mathrm{~d} t}\) \\
\((R)=\int \underline{\underline{48 \sin ^{2} t \cos t+64 \sin ^{2} t \cos ^{2} t} \mathrm{~d} t}\) \\
\((R)=\int \underline{\underline{24 \sin 2 t \sin t+16 \sin ^{2} 2 t} \mathrm{~d} t}\)",A1,\(1.1 b\)
,Attempts to use \(\cos 4 t=1-2 \sin ^{2} 2 t=\left(1-8 \sin ^{2} t \cos ^{2} t\right)\),M1,\(1.1 b\)
,\(R=\int_{0}^{a} 8-8 \cos 4 t+48 \sin ^{2} t \cos t \mathrm{~d} t \quad *\),A1*,2.1
,Deduces \(a=\frac{\pi}{4}\),B1,2.2 a
,,(5),
(b),\(\int 8-8 \cos 4 t+48 \sin ^{2} t \cos t \mathrm{~d} t=8 t-2 \sin 4 t+16 \sin ^{3} t\),"M1 \\
A1","2.1 \\
\(1.1 b\)"
,{\(\left[8 t-2 \sin 4 t+16 \sin ^{3} t\right]_{0}^{\frac{\pi}{4}}=2 \pi+4 \sqrt{2}\)},"M1 \\
A1","2.1 \\
1.1 b"
,,(4),"\\
 \multicolumn{4}{|l|}{ (9 marks) }"
Notes:,,,
